Author,Date,tweet,label,key_word
Anil Kumar,2025-09-01,Ye amendment startups ke liye burden badha dega.,0,ye
Sanya Joshi,2025-09-03,Strict penalties MSMEs ko nuksan pohchayengi.,0,strict
Rakesh Singh,2025-09-04,Compliance cost bohot zyada ho jayega.,1,<none>
Priya Mehta,2025-09-05,Implementation time unrealistic hai.,1,<none>
Vishal Jain,2025-09-06,"Clauses samajhna mushkil hai, bahut complex hain.",0,clause
Shweta Rao,2025-09-07,Stakeholders ki concerns ko ignore kiya gaya hai.,1,<none>
Nitin Gupta,2025-09-08,"Penalty clauses harsh hain, relief nahi mila.",0,penalty
Lata Sharma,2025-09-09,Kuch provisions redundant lag rahe hain.,1,<none>
Manish Singh,2025-09-10,Lack of clarity confusing hai.,0,lack
Rekha Patel,2025-09-11,Rules implementation mein problems aayengi.,1,<none>
Rohit Verma,2025-09-12,Government ne feedback nahi liya sahi tarike se.,2,government
Neha Reddy,2025-09-13,New rules zyada strict hain.,2,new
Suresh Kumar,2025-09-14,Implementation ke liye adequate resources nahi hain.,2,implementation
Kiran Joshi,2025-09-15,Small businesses confuse ho jayengi in regulations se.,0,small
Alok Mehta,2025-09-16,In provisions mein changes ki zaroorat hai.,2,provision
Pooja Gupta,2025-09-17,Bahut zyada paperwork hoga is amendment se.,1,<none>
Harish Sharma,2025-09-18,Penalty clauses unfair hain.,0,penalty
Meera Iyer,2025-09-19,Digital compliance mein problems aayengi.,1,<none>
Varun Patel,2025-09-20,The amendment lacks provisions for startup relief.,1,<none>
Divya Singh,2025-09-21,Certain points are not feasible economically.,2,certain
Kamal Verma,2025-09-22,Mujhe lagta hai provision confusing hain.,0,mujhe
Rina Das,2025-09-23,Compliance deadlines unrealistic hain.,1,<none>
Sanjay Reddy,2025-09-24,Lack of sufficient training support.,2,lack
Anita Mehra,2025-09-25,Increases business risks without support.,1,<none>
Vikas Shah,2025-09-26,Penalty amounts excessive hain.,2,penalty
Alka Tripathi,2025-09-27,Regulations thode zyada strict hain.,1,<none>
Rahul Kapoor,2025-09-28,Clear guidelines ki kami.,0,clear
Rita Malhotra,2025-09-29,Overall impact negative lag raha hai.,0,overall
Suresh Jain,2025-09-30,Rules zyada complicated hain.,0,rule
Priya Nair,2025-09-30,Implementation mein bohot dikkat hogi.,1,<none>
Rahul Desai,2025-09-01,The amendment has detailed rules but needs clear guidelines.,2,amendment
Priya Sharma,2025-09-03,"Kuch clauses samajhne mein problem hai, phir bhi overall fine hai.",2,kuch
Arjun Patel,2025-09-04,Impact ko samajhne ke liye implementation dekhna hoga.,0,impact
Sneha Iyer,2025-09-06,Some sections appear balanced.,1,<none>
Aditya Verma,2025-09-07,"Further clarifications ki zaroorat hai, but draft promising hai.",2,clarification
Neha Gupta,2025-09-08,The amendment covers important ground but is still evolving.,2,amendment
Vikram Joshi,2025-09-09,Mixed reactions expected once enforced.,2,mixed
Pooja Nair,2025-09-10,Implementation ke process ko samajhna hoga.,0,implementation
Sanjay Malhotra,2025-09-12,This amendment includes various detailed provisions.,2,amendment
Kavita Reddy,2025-09-13,Overall it looks reasonable but needs government support.,2,overall
Rahul Desai,2025-09-14,Kuch queries abhi bhi unanswered hai.,1,<none>
Priya Sharma,2025-09-15,The balance between regulation and growth is decent.,0,balance
Arjun Patel,2025-09-16,Effects of this amendment will be clearer with time.,1,<none>
Sneha Iyer,2025-09-17,Kya final guidelines aaengi? Intezaar hai.,1,<none>
Aditya Verma,2025-09-18,The language needs simplification for better understanding.,2,language
Neha Gupta,2025-09-19,Ye amendment SMEs ke liye new opportunities laa sakta hai.,2,ye
Vikram Joshi,2025-09-20,Regulatory framework kaafi clear dikh raha hai.,2,framework
Pooja Nair,2025-09-21,Starting phase mein challenges aayeinge but hopeful hain.,1,<none>
Sanjay Malhotra,2025-09-22,Certain sections ki clarity badaani hogi.,0,certain
Anil Kumar,2025-09-01,Ye amendment startups ke liye burden badha dega.,0,ye
